userName,at,content
Pengguna Google,2024-12-09 14:12:12,"Sorry to say,,, masih bagusan aplikasi mbanking bni sebelum wondr,,, karna seriong trouble,, lemotttt, sering gabisa log in,, jaringan padahal lancar jayaaa,,, ayooo wondr tampilan mu boleh anak muda,, tapi harus bisa diakses oleh pengguna hape apa saja dan di mana saja"
Pengguna Google,2024-12-09 14:12:02,Lemot banget kak aplikasi nya direlog hp malah daftar lagi
Pengguna Google,2024-12-09 14:12:02,terkadang tidak bisa login
Pengguna Google,2024-12-09 14:11:52,"Aplikasi lemot, sering bug....parah.....disaat buru-buru malah susah di pake"
Pengguna Google,2024-12-09 14:11:27,Ini app perbaikan mulu susah banget masuk nya hadeh
Pengguna Google,2024-12-09 14:10:50,"Perbaikin lagi aplikasinya, login kadang bisa kadang gak bisa."
Pengguna Google,2024-12-09 14:10:14,duh jelek banget wondr ya dikit² update tapi tetep aja lemot
Pengguna Google,2024-12-09 14:09:53,Aplikasi gak bisa login padahal jaringan nya bisa
Pengguna Google,2024-12-09 14:09:25,sering error..susah log in..sering keluar aplikasi saat lg transaksi..jauh lbh nyaman pakai mobile banking sebelumnya yg minim kendala..
Pengguna Google,2024-12-09 14:09:18,"APK SAMPAH BELUM APA APA UDAH BANYAK MASALAH BELUM JUGA MASUK BARU DAFTAR, APK SAMPAH"
Pengguna Google,2024-12-09 14:08:48,Kk knp kalo buka m bangking nya selalu ganguan .kadang mau transaksi lama .kadang suka malu
Pengguna Google,2024-12-09 14:07:27,"Sering ada kendala, ntah kenapa padahal internet dipakai yg lain sangat lancar. Secara UI/UX udh bagus, ntah ini dari segi backend nya yg bermasalah atau gmn ya. BNI Mobile yg lama aja sangat jarang bermasalah"
Pengguna Google,2024-12-09 14:06:01,"gak bisa login bos, gimana ini apk gaje"
Pengguna Google,2024-12-09 14:05:24,Disaat dibutuhkan gangguan
Pengguna Google,2024-12-09 14:04:02,"Jelekk, Aplikasinya tidak bisa digunakan dengan jaringan wifi."
Pengguna Google,2024-12-09 13:36:03,"Kelamaan... perbaikan trus, mending hapus aja"
Pengguna Google,2024-12-09 13:27:37,"Sudah nyoba verifikasi wajah selalu gagal,,disuruh lanjut besok lagi,,sudah 3 hari masih gagal,,menyusahkan mau migrasi aja ke aplikasi baru"
Pengguna Google,2024-12-09 13:25:52,Sangat bagus
Pengguna Google,2024-12-09 13:05:16,"kenapa saya tidak bisa login? padahal informasi biodata suda lengkap dan sesuai, suda ulang ulang untuk login tetapi tidak bisa juga."
