content,case_folding,cleansing,normalized_reviews
sering minta log in ulang itu kenapa ya kk...pdhal bru buka dan mau transfer..,sering minta log in ulang itu kenapa ya kk...pdhal bru buka dan mau transfer..,sering minta log in ulang itu kenapa ya kkpdhal bru buka dan mau transfer,sering meminta log ini ulang itu kenapa ya kkpdhal baru buka dan mau transfer
Semoga tambah baik trus,semoga tambah baik trus,semoga tambah baik trus,semoga tambah baik terus
"Buruk, terlalu sering atau keluar otomatis","buruk, terlalu sering atau keluar otomatis",buruk terlalu sering atau keluar otomatis,buruk terlalu sering atau keluar otomatis
Aplikasi ga jelas,aplikasi ga jelas,aplikasi ga jelas,aplikasi enggak jelas
Aplikasinya sangat mudah di proses,aplikasinya sangat mudah di proses,aplikasinya sangat mudah di proses,aplikasinya sangat mudah di proses
"Min, kenapa sering logout sendiri ketika sedang transaksi ya?","min, kenapa sering logout sendiri ketika sedang transaksi ya?",min kenapa sering logout sendiri ketika sedang transaksi ya,min kenapa sering logout sendiri ketika sedang transaksi ya
Terlalu sering lost connect apalagi pas buka Ewalletnya,terlalu sering lost connect apalagi pas buka ewalletnya,terlalu sering lost connect apalagi pas buka ewalletnya,terlalu sering lost connect apalagi pas buka ewalletnya
Parah banyak gangguan,parah banyak gangguan,parah banyak gangguan,parah banyak gangguan
Keseringan eror aneh,keseringan eror aneh,keseringan eror aneh,keseringan eror aneh
Aplikasi minim figur Tidak ada fitur tarik/setor tunai tanpa kartu.,aplikasi minim figur tidak ada fitur tarik/setor tunai tanpa kartu.,aplikasi minim figur tidak ada fitur tariksetor tunai tanpa kartu,aplikasi minim figur tidak ada fitur tariksetor tunai tanpa kartu
"Udah bener pake mobile banking BNI pake segala ganti2 wondr mending bagus ini lemot bgt sering error' pula, orang mah perbaiki aja aplikasi lama malah pake wondr makin parahhhhh monyet rating lu aja 3,9 harus nunggu turun berapa wkwkwk","udah bener pake mobile banking bni pake segala ganti2 wondr mending bagus ini lemot bgt sering error' pula, orang mah perbaiki aja aplikasi lama malah pake wondr makin parahhhhh monyet rating lu aja 3,9 harus nunggu turun berapa wkwkwk",udah bener pake mobile banking bni pake segala ganti wondr mending bagus ini lemot bgt sering error pula orang mah perbaiki aja aplikasi lama malah pake wondr makin parahhhhh monyet rating lu aja  harus nunggu turun berapa wkwkwk,sudah benar pakai mobile banking bni pakai segala ganti wondr mending bagus ini lemot banget sering error pula orang mah perbaiki saja aplikasi lama malah pakai wondr makin parahhhhh monyet rating lu saja harus menunggu turun berapa wkwkwk
Mudah eror/ Apk penuh kendala,mudah eror/ apk penuh kendala,mudah eror apk penuh kendala,mudah eror apk penuh kendala
"Bagus,tapi tolong jangan sering bgt gangguan ,sanggat menggangu saat untuk transaksi,jadi kendala.","bagus,tapi tolong jangan sering bgt gangguan ,sanggat menggangu saat untuk transaksi,jadi kendala.",bagustapi tolong jangan sering bgt gangguan sanggat menggangu saat untuk transaksijadi kendala,bagustapi tolong jangan sering banget gangguan sangat menggangu saat untuk transaksijadi kendala
"jelek, banyak gangguan, error, sesi berakhir sesi berakhir, malu maluin lagi pesen makan wondr nya gabisa kebuka sumpah malu maluin","jelek, banyak gangguan, error, sesi berakhir sesi berakhir, malu maluin lagi pesen makan wondr nya gabisa kebuka sumpah malu maluin",jelek banyak gangguan error sesi berakhir sesi berakhir malu maluin lagi pesen makan wondr nya gabisa kebuka sumpah malu maluin,jelek banyak gangguan error sesi berakhir sesi berakhir malu maluin lagi pesan makan wondr nya enggak bisa kebuka sumpah malu maluin
"Aplikasi sering eror. Sesi tidak tersedia, coba lagi. Mutasi transfer masuk cuma ditulis transfer aja. Gak ada nama jelas dari pengirim nya. Jadi gak tau dari mana kita dapat transfer an. Saya rasa kurang bagus dan lengkap. Mohon diperbaiki dan ditingkatkan. Kalau gak bisa lebih baik jangan buat aplikasi mbanking. Daripada malah menyusahkan orang.","aplikasi sering eror. sesi tidak tersedia, coba lagi. mutasi transfer masuk cuma ditulis transfer aja. gak ada nama jelas dari pengirim nya. jadi gak tau dari mana kita dapat transfer an. saya rasa kurang bagus dan lengkap. mohon diperbaiki dan ditingkatkan. kalau gak bisa lebih baik jangan buat aplikasi mbanking. daripada malah menyusahkan orang.",aplikasi sering eror sesi tidak tersedia coba lagi mutasi transfer masuk cuma ditulis transfer aja gak ada nama jelas dari pengirim nya jadi gak tau dari mana kita dapat transfer an saya rasa kurang bagus dan lengkap mohon diperbaiki dan ditingkatkan kalau gak bisa lebih baik jangan buat aplikasi mbanking daripada malah menyusahkan orang,aplikasi sering eror sesi tidak tersedia coba lagi mutasi transfer masuk cuma ditulis transfer saja enggak ada nama jelas dari pengirim nya jadi enggak tau dari mana kita dapat transfer an saya rasa kurang bagus dan lengkap mohon diperbaiki dan ditingkatkan kalau enggak bisa lebih baik jangan buat aplikasi mbanking daripada malah menyusahkan orang
"aplikasi gajelas, rusak","aplikasi gajelas, rusak",aplikasi gajelas rusak,aplikasi enggak jelas rusak
Kok ganggu an trus knpaa yhaa,kok ganggu an trus knpaa yhaa,kok ganggu an trus knpaa yhaa,kok ganggu an terus knpaa yhaa
