content,case_folding,cleansing,normalized_reviews
Sering gangguan dan maintenance Mulu kenapa dah,sering gangguan dan maintenance mulu kenapa dah,sering gangguan dan maintenance mulu kenapa dah,sering gangguan dan maintenance mulu kenapa deh
"Aplikasi bagus,mudah untuk transaksi tapi begitu sering gangguan mempersulit ketika ingin meng aksesnya","aplikasi bagus,mudah untuk transaksi tapi begitu sering gangguan mempersulit ketika ingin meng aksesnya",aplikasi bagusmudah untuk transaksi tapi begitu sering gangguan mempersulit ketika ingin meng aksesnya,aplikasi bagusmudah untuk transaksi tapi begitu sering gangguan mempersulit ketika ingin meng aksesnya
"Sangat kurang sekali, sudah login dan masuk akun pas keluar aplikasi kemudian mencoba masuk apk lagi tiba2 ngak bisa, bagusan aplikasi yang terlama daripada yang ini, selalu keluar sendiri dari aplikasi saat login","sangat kurang sekali, sudah login dan masuk akun pas keluar aplikasi kemudian mencoba masuk apk lagi tiba2 ngak bisa, bagusan aplikasi yang terlama daripada yang ini, selalu keluar sendiri dari aplikasi saat login",sangat kurang sekali sudah login dan masuk akun pas keluar aplikasi kemudian mencoba masuk apk lagi tiba ngak bisa bagusan aplikasi yang terlama daripada yang ini selalu keluar sendiri dari aplikasi saat login,sangat kurang sekali sudah login dan masuk akun pas keluar aplikasi kemudian mencoba masuk apk lagi tiba enggak bisa bagusan aplikasi yang terlama daripada yang ini selalu keluar sendiri dari aplikasi saat login
"apasih gabisa di buka, gangguan terus, masa mbanking kaca gini sih","apasih gabisa di buka, gangguan terus, masa mbanking kaca gini sih",apasih gabisa di buka gangguan terus masa mbanking kaca gini sih,apasih enggak bisa di buka gangguan terus masa mbanking kaca begini sih
Akirr² ini sering meintenant,akirr² ini sering meintenant,akirr ini sering meintenant,akirr ini sering meintenant
Setiap jam 10 ko nga bisa transaksi,setiap jam 10 ko nga bisa transaksi,setiap jam  ko nga bisa transaksi,setiap jam kok enggak bisa transaksi
"apa sih wondr perbaikan setiap hari pasti banget giliran di butuhin error dalam perbaikan, apanya yg di perbaiki coba? mana setiap hari, kayanya gtu gtu aja ga jelas, udah pesen bawa belanjaan banyak gak bawa uang cash giliran buka wondr pasti aja gini udah sering lo saya gini sementara saya kasih rating segini dulu, kalo ada perbaikan tolong lah disegerakan kita juga udah percayakan mbanking bni sama wondr🙏","apa sih wondr perbaikan setiap hari pasti banget giliran di butuhin error dalam perbaikan, apanya yg di perbaiki coba? mana setiap hari, kayanya gtu gtu aja ga jelas, udah pesen bawa belanjaan banyak gak bawa uang cash giliran buka wondr pasti aja gini udah sering lo saya gini sementara saya kasih rating segini dulu, kalo ada perbaikan tolong lah disegerakan kita juga udah percayakan mbanking bni sama wondr🙏",apa sih wondr perbaikan setiap hari pasti banget giliran di butuhin error dalam perbaikan apanya yg di perbaiki coba mana setiap hari kayanya gtu gtu aja ga jelas udah pesen bawa belanjaan banyak gak bawa uang cash giliran buka wondr pasti aja gini udah sering lo saya gini sementara saya kasih rating segini dulu kalo ada perbaikan tolong lah disegerakan kita juga udah percayakan mbanking bni sama wondr,apa sih wondr perbaikan setiap hari pasti banget giliran di butuhin error dalam perbaikan apanya yang di perbaiki coba mana setiap hari kayanya begitu begitu saja enggak jelas sudah pesan bawa belanjaan banyak enggak bawa uang cash giliran buka wondr pasti saja begini sudah sering lo saya begini sementara saya kasih rating segini dulu kalo ada perbaikan tolong lah disegerakan kita juga sudah percayakan mbanking bni sama wondr
"Sering gangguan..payah,dan sering fitur TDK tersedia..coba lagi tulisan nya..woii perbaiki segera,knp gangguan lagi ini sekarang..mana nih pihak bni","sering gangguan..payah,dan sering fitur tdk tersedia..coba lagi tulisan nya..woii perbaiki segera,knp gangguan lagi ini sekarang..mana nih pihak bni",sering gangguanpayahdan sering fitur tdk tersediacoba lagi tulisan nyawoii perbaiki segeraknp gangguan lagi ini sekarangmana nih pihak bni,sering gangguanpayahdan sering fitur tidak tersediacoba lagi tulisan nyawoii perbaiki segeraknp gangguan lagi ini sekarangmana nih pihak bni
Semenjak jadi wonder sering error milik negara tapi ITnya Tolol,semenjak jadi wonder sering error milik negara tapi itnya tolol,semenjak jadi wonder sering error milik negara tapi itnya tolol,semenjak jadi wonder sering error milik negara tapi itnya tolol
aplikasi busuk.. gangguan hampir stiap minggu 3x . lebih stabil mbanking dri pada ini.. wonder ngak banget rekomend untuk org2 yg sering transaksi,aplikasi busuk.. gangguan hampir stiap minggu 3x . lebih stabil mbanking dri pada ini.. wonder ngak banget rekomend untuk org2 yg sering transaksi,aplikasi busuk gangguan hampir stiap minggu x  lebih stabil mbanking dri pada ini wonder ngak banget rekomend untuk org yg sering transaksi,aplikasi busuk gangguan hampir setiap minggu kali lebih stabil mbanking dari pada ini wonder enggak banget rekomend untuk orang yang sering transaksi
Slalu bermasalah,slalu bermasalah,slalu bermasalah,selalu bermasalah
"saya liat udh banyak yg komplen dan mengalami hal yang saya dengan saya ketika mau tf diblng nya gagal tapi saldo kepotong tapi tdk ada bukti transfer pdhal jls jls keterangan nya gagal bukan pending. kemudian wktu lagi ga bawa cash mau bayar pake apk ini malah ga bisa di pake krna sedang ada perbaikan kata nya, alhasil merepotkan bgt mana ga bawa cash sama sekali, jadi mohon ya tlg di tingkatkan agar tdk merepotkan. tlg ditingkatkan lagi ya krna kdng lagi keadaan darurat malah ga bisa dipake.","saya liat udh banyak yg komplen dan mengalami hal yang saya dengan saya ketika mau tf diblng nya gagal tapi saldo kepotong tapi tdk ada bukti transfer pdhal jls jls keterangan nya gagal bukan pending. kemudian wktu lagi ga bawa cash mau bayar pake apk ini malah ga bisa di pake krna sedang ada perbaikan kata nya, alhasil merepotkan bgt mana ga bawa cash sama sekali, jadi mohon ya tlg di tingkatkan agar tdk merepotkan. tlg ditingkatkan lagi ya krna kdng lagi keadaan darurat malah ga bisa dipake.",saya liat udh banyak yg komplen dan mengalami hal yang saya dengan saya ketika mau tf diblng nya gagal tapi saldo kepotong tapi tdk ada bukti transfer pdhal jls jls keterangan nya gagal bukan pending kemudian wktu lagi ga bawa cash mau bayar pake apk ini malah ga bisa di pake krna sedang ada perbaikan kata nya alhasil merepotkan bgt mana ga bawa cash sama sekali jadi mohon ya tlg di tingkatkan agar tdk merepotkan tlg ditingkatkan lagi ya krna kdng lagi keadaan darurat malah ga bisa dipake,saya lihat sudah banyak yang komplen dan mengalami hal yang saya dengan saya ketika mau tf diblng nya gagal tapi saldo kepotong tapi tidak ada bukti transfer padahal jls jls keterangan nya gagal bukan pending kemudian waktu lagi enggak bawa cash mau bayar pakai apk ini malah enggak bisa di pakai karena sedang ada perbaikan kata nya alhasil merepotkan banget mana enggak bawa cash sama sekali jadi mohon ya tolong di tingkatkan agar tidak merepotkan tolong ditingkatkan lagi ya karena kadang lagi keadaan darurat malah enggak bisa dipakai
sering x gabisa dibuka apk buat malu pas pembayaran aneh. sedang diperbaiki trus kek paling gabisa BNI dipake kalau urgen,sering x gabisa dibuka apk buat malu pas pembayaran aneh. sedang diperbaiki trus kek paling gabisa bni dipake kalau urgen,sering x gabisa dibuka apk buat malu pas pembayaran aneh sedang diperbaiki trus kek paling gabisa bni dipake kalau urgen,sering kali enggak bisa dibuka apk buat malu pas pembayaran aneh sedang diperbaiki terus kayak paling enggak bisa bni dipakai kalau urgen
Kalau pakai wifi lemot banget gak kaya BNI yang lama,kalau pakai wifi lemot banget gak kaya bni yang lama,kalau pakai wifi lemot banget gak kaya bni yang lama,kalau pakai wifi lemot banget enggak kayak bni yang lama
"Perasaan sering bgt gangguan dah, mending aplikasi yg lama","perasaan sering bgt gangguan dah, mending aplikasi yg lama",perasaan sering bgt gangguan dah mending aplikasi yg lama,perasaan sering banget gangguan deh mending aplikasi yang lama
Eror GK bisa buka,eror gk bisa buka,eror gk bisa buka,eror enggak bisa buka
"Tiap malam gangguan mulu, Tiap buka ada nongol Fitur sedang tidak tersedia.","tiap malam gangguan mulu, tiap buka ada nongol fitur sedang tidak tersedia.",tiap malam gangguan mulu tiap buka ada nongol fitur sedang tidak tersedia,tiap malam gangguan mulu tiap buka ada nongol fitur sedang tidak tersedia
SERING BANGET ERROR NYA. BIKIN SUSAH AJA.,sering banget error nya. bikin susah aja.,sering banget error nya bikin susah aja,sering banget error nya bikin susah saja
Mohon maaf tapi suka error mulu. Pas lagi genting2nya dan ga bisa kepake itu bener2 frustasi banget 😕,mohon maaf tapi suka error mulu. pas lagi genting2nya dan ga bisa kepake itu bener2 frustasi banget 😕,mohon maaf tapi suka error mulu pas lagi gentingnya dan ga bisa kepake itu bener frustasi banget ,mohon maaf tapi suka error mulu pas lagi gentingnya dan enggak bisa kepake itu benar frustasi banget
"Ketika urgent di butuhkan malah sering terjadi bug ""fitur lagi tidak tersedia"" Itu saya nunggu sampai setengah jam mau bayar pake Qris jadinya gabisa kebuka aplikasi nya coba yah d benahin masih bagus pake M-banking nya","ketika urgent di butuhkan malah sering terjadi bug ""fitur lagi tidak tersedia"" itu saya nunggu sampai setengah jam mau bayar pake qris jadinya gabisa kebuka aplikasi nya coba yah d benahin masih bagus pake m-banking nya",ketika urgent di butuhkan malah sering terjadi bug fitur lagi tidak tersedia itu saya nunggu sampai setengah jam mau bayar pake qris jadinya gabisa kebuka aplikasi nya coba yah d benahin masih bagus pake mbanking nya,ketika urgent di butuhkan malah sering terjadi bug fitur lagi tidak tersedia itu saya menunggu sampai setengah jam mau bayar pakai qris jadinya enggak bisa kebuka aplikasi nya coba ya di membenahi masih bagus pakai mbanking nya
Aplikasi sangat jelek sekali gk kayak mbanking,aplikasi sangat jelek sekali gk kayak mbanking,aplikasi sangat jelek sekali gk kayak mbanking,aplikasi sangat jelek sekali enggak kayak mbanking
Kendala Mulu kalo habis hujan kacau,kendala mulu kalo habis hujan kacau,kendala mulu kalo habis hujan kacau,kendala mulu kalo habis hujan kacau
Kok gangguan ya,kok gangguan ya,kok gangguan ya,kok gangguan ya
Sangat membantu,sangat membantu,sangat membantu,sangat membantu
"apk malah eror pas lagi di butuh²in, sinyal kenceng jaringan lancar buka ini itu cepet tapi pas buka ini malah eror, sering eror.","apk malah eror pas lagi di butuh²in, sinyal kenceng jaringan lancar buka ini itu cepet tapi pas buka ini malah eror, sering eror.",apk malah eror pas lagi di butuhin sinyal kenceng jaringan lancar buka ini itu cepet tapi pas buka ini malah eror sering eror,apk malah eror pas lagi di butuhin sinyal kencang jaringan lancar buka ini itu cepat tapi pas buka ini malah eror sering eror
Sering bgt gk bsa login dan sering bgt ada perbaikann 👎 kcewa bgt sh disaat buru² mau tf atau cek saldo sering gk bsa login,sering bgt gk bsa login dan sering bgt ada perbaikann 👎 kcewa bgt sh disaat buru² mau tf atau cek saldo sering gk bsa login,sering bgt gk bsa login dan sering bgt ada perbaikann  kcewa bgt sh disaat buru mau tf atau cek saldo sering gk bsa login,sering banget enggak bisa login dan sering banget ada perbaikann kecewa banget sh disaat buru mau tf atau cek saldo sering enggak bisa login
"Apakah wondr by BNI, sedang eror., atau dalam masa perbaikan.","apakah wondr by bni, sedang eror., atau dalam masa perbaikan.",apakah wondr by bni sedang eror atau dalam masa perbaikan,apakah wondr by bni sedang eror atau dalam masa perbaikan
Suka error,suka error,suka error,suka error
Puas,puas,puas,puas
"Ini aplikasi ya sering perbaikan,","ini aplikasi ya sering perbaikan,",ini aplikasi ya sering perbaikan,ini aplikasi ya sering perbaikan
"kebanyakan perbaikan sistem jadi setiap qris atau pembayaran jadi tertunda, pengalaman saya waktu pembayaran udah selesai tapi pending, tiba tiba keluar sendiri terus ga bisa masuk gara gara ada perbaikan","kebanyakan perbaikan sistem jadi setiap qris atau pembayaran jadi tertunda, pengalaman saya waktu pembayaran udah selesai tapi pending, tiba tiba keluar sendiri terus ga bisa masuk gara gara ada perbaikan",kebanyakan perbaikan sistem jadi setiap qris atau pembayaran jadi tertunda pengalaman saya waktu pembayaran udah selesai tapi pending tiba tiba keluar sendiri terus ga bisa masuk gara gara ada perbaikan,kebanyakan perbaikan sistem jadi setiap qris atau pembayaran jadi tertunda pengalaman saya waktu pembayaran sudah selesai tapi pending tiba tiba keluar sendiri terus enggak bisa masuk gara gara ada perbaikan
Kebanyakan trobel,kebanyakan trobel,kebanyakan trobel,kebanyakan trobel
"Gangguan Mulu ,suruh download tapi ga gguan terus...,","gangguan mulu ,suruh download tapi ga gguan terus...,",gangguan mulu suruh download tapi ga gguan terus,gangguan mulu suruh download tapi enggak gguan terus
sering banget trouble,sering banget trouble,sering banget trouble,sering banget trouble
Kenapa wonder sekarang banyak perbaikanya ya padahal fitur suda lengakap,kenapa wonder sekarang banyak perbaikanya ya padahal fitur suda lengakap,kenapa wonder sekarang banyak perbaikanya ya padahal fitur suda lengakap,kenapa wonder sekarang banyak perbaikanya ya padahal fitur sudah lengakap
"Fitur ok simpel,tp sayang tiba² gak bisa di akses.maintenance mulu.","fitur ok simpel,tp sayang tiba² gak bisa di akses.maintenance mulu.",fitur ok simpeltp sayang tiba gak bisa di aksesmaintenance mulu,fitur ok simpeltp sayang tiba enggak bisa di aksesmaintenance mulu
gangguan terus,gangguan terus,gangguan terus,gangguan terus
"Kalian tidak siap dengan aplikasi ini, ada hal urgent malah gak bisa kebuka aplikasinya 😁","kalian tidak siap dengan aplikasi ini, ada hal urgent malah gak bisa kebuka aplikasinya 😁",kalian tidak siap dengan aplikasi ini ada hal urgent malah gak bisa kebuka aplikasinya ,kalian tidak siap dengan aplikasi ini ada hal urgent malah enggak bisa kebuka aplikasinya
"Selalu perbaikan terus kalau mau masuk, astaghfirullah 😓","selalu perbaikan terus kalau mau masuk, astaghfirullah 😓",selalu perbaikan terus kalau mau masuk astaghfirullah ,selalu perbaikan terus kalau mau masuk astaghfirullah
Kenapa sering kali gangguan.. Ni gangguan,kenapa sering kali gangguan.. ni gangguan,kenapa sering kali gangguan ni gangguan,kenapa sering kali gangguan nih gangguan
"Sering ada kendala kalo sinyalnya kurang bagus, tp pas buka mbanking sebelah aman2 aja tuh","sering ada kendala kalo sinyalnya kurang bagus, tp pas buka mbanking sebelah aman2 aja tuh",sering ada kendala kalo sinyalnya kurang bagus tp pas buka mbanking sebelah aman aja tuh,sering ada kendala kalo sinyalnya kurang bagus tapi pas buka mbanking sebelah aman saja tuh
Aplikasi ini sangat bagus,aplikasi ini sangat bagus,aplikasi ini sangat bagus,aplikasi ini sangat bagus
Sudah hampir 1minggu aplikasi eror udan di uninstal instal lagi tetep aja ga bisa dibuka kenapa?,sudah hampir 1minggu aplikasi eror udan di uninstal instal lagi tetep aja ga bisa dibuka kenapa?,sudah hampir minggu aplikasi eror udan di uninstal instal lagi tetep aja ga bisa dibuka kenapa,sudah hampir minggu aplikasi eror udan di uninstal instal lagi tetap saja enggak bisa dibuka kenapa
Sering erorr,sering erorr,sering erorr,sering erorr
Aplikasi wondr di hp saya eror. Tidak bisa terbuka. Kadang saldo tidak bertambah padahal ada notif pemasukan.😭. Padahal lagi perlu2 nya. Masih bagus aplikasi lama.,aplikasi wondr di hp saya eror. tidak bisa terbuka. kadang saldo tidak bertambah padahal ada notif pemasukan.😭. padahal lagi perlu2 nya. masih bagus aplikasi lama.,aplikasi wondr di hp saya eror tidak bisa terbuka kadang saldo tidak bertambah padahal ada notif pemasukan padahal lagi perlu nya masih bagus aplikasi lama,aplikasi wondr di hp saya eror tidak bisa terbuka kadang saldo tidak bertambah padahal ada notif pemasukan padahal lagi perlu nya masih bagus aplikasi lama
lebih mudah..top,lebih mudah..top,lebih mudahtop,lebih mudahtop
"Kesel sama mbanking BNI,dikit dikit gangguan,menghambat transaksi,mana kalo gangguan lamaaa kalo begini terus saya uninstal aja lah bikin emosi","kesel sama mbanking bni,dikit dikit gangguan,menghambat transaksi,mana kalo gangguan lamaaa kalo begini terus saya uninstal aja lah bikin emosi",kesel sama mbanking bnidikit dikit gangguanmenghambat transaksimana kalo gangguan lamaaa kalo begini terus saya uninstal aja lah bikin emosi,kesel sama mbanking bnidikit dikit gangguanmenghambat transaksimana kalo gangguan lamaaa kalo begini terus saya uninstal saja lah bikin emosi
